BLOCK_TIMESTAMP,BLOCK_ID,TX_ID,SUCCEEDED,ACCOUNT_ADDRESS,MINT,OWNER,PRE_BALANCE,BALANCE,FACT_TOKEN_BALANCES_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2024-09-10 18:38:45.000,289006572,2G3oqBnEFENAtC8avcNqmq5vMJfFu5fDF1U4oduVRwU8TTGKE7Bz1jUpXXBw6MQ5Bmu7yDhoE7gK85PWEZT82NWr,true,4Rg5ruCtw2kVMzr2BSiqZDLift8dC1c2HSj9q1tzyoTh,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,5NoxdJCNCnsUk1TgpoWfa6hcjCLSUC3AxszH2unL6yCq,962.697047,0,ea684f71f2df63d6ce47c0166ab26875,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:39:33.000,289006680,4d1XE5bY8AkwhUBUWC96bFZKE4wsLXNBKbXM7eUiVH8NecbPiRhDmnudTCbJ8TG7CsSj7DNeU1Sae9fbPBmSgiRd,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,11799693.669258,12145030.198377,862c6fb87e94421f0c4784144f06f4dd,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:27:57.000,289005169,mkgqFz8cPUXHVKu4EvkqMaDycSEwNp2saGdqnGVxgnzqmAmQ35qGtHcr8hxJBN4eQYaVXBHvQA2Q6CAduc8WULM,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,17244799.891675,16324788.3816,5aca2288133bcf5f5dbb721dc84ae60f,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:30:13.000,289005467,2Tp4TdbHXbNdJxjLcwBWfxRUtfUCxPNeActd4yEKY7SgYqh5WY9FFDrW5DZhgKQ98kVutsXiG5m9JiFwLRTVFCpb,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,10881184.720665,11000408.670995,babf24bc12a74a065e6d9c005ed7a2cb,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:46:03.000,289007506,28GKQzmBp64jpPMqsNnWZ2kWc6URupuZQToHVmJLPRKj7GUWuqWjZQnsyTizdmwLZmcrS9McaLdsLPd1dDY3PPY2,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,12173473.466812,11902815.254611,f248df20c82be9f16eba947c75d21d30,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:32:18.000,289005735,5DpqLRKRodP3yWhKg6wJV52STaXe7roqqTkxK36oY2tryafJamXCzaUdxxhxGW7UzMKqrgGDvYEcDZfMDPNkvPFs,true,75nvZdPpSuMFA9v7gV4MMBVU7zrXgTAcLEqyf33GVe1p,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,AmRNua9vo38ScfbAZoG9VuBiHNtRjq2iuccgB4k3gbuJ,0,8146.272073,a696c91ddf62d0874f1a57a7a8e6fdfd,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:31:45.000,289005660,219yGSUfhbVxMq2HfF61dYNUkJNYxNpoG9zLz3EoPjKJsPoCqvQ19E5TzhniSHRhvsbatfMdCWpdJ317645X53sh,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,11370950.140763,11246755.12243,da64a9ee0de0a1321546cee115f53dbc,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:32:06.000,289005711,3AqAccntHDUAP5g3KDDpgZvqGqjhwSm98rZGyeerLNZqSpBWenUbZSPoPAugv8KTfK18RxciefgEcbu6fzUAgAJb,true,HGX4nrHCoscP9CbcMVFLFdRh8DevbRv9hrdtZrr4ExNw,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,3EpBWUqo5JPv3PxtFdfBYZYwg5WYF9N52Jq1R5Nc6fbK,120446.187632,0,8ba47fa24ccf591b2d2f98cf8f8e17bd,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:39:35.000,289006684,4UKdeK7byUCWHzATGvTae5XcwKWnQRBbsdyen62xrX7p4evk4wJZNDtkfEPykWy8CpCnDH9br6jkYUDTatFGkkQR,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,12035036.213484,12032652.50932,596057efe3c49769fe0110d20789824d,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:32:03.000,289005703,3FYx9XXjSn3oS9RqkLGDPheDgDnigqGo1Lf3NUMfsSsQkCdVamPRFKu2TJk7mo4ecHPkaaFjUozjtbS3tJ3sJMsN,true,Ck2pcdL23MMzfz6QrL5iiDqC2FXmd4rTLgwRw2wi3yto,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,ProCXqRcXJjoUd1RNoo28bSizAA6EEqt9wURZYPDc5u,11075.577841,0,ce285d1541157afb1b6bda46a2759987,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:29:42.000,289005396,2zQsTrwn8dy3iAkTYAprPYgyNy1toFyLF1SDCMqdps4jaewcdU7e6xLVgh9Hcd5MqsToV7nymtdUTnrsGVqxFUPR,true,Bre9G5Fqor5Qnvv1vHtP63ffv8b3jbPRu8wf81uQ2hHP,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,5sNY9jqtV3fXGCe6Nri2Go9qZsnLwWTMxiuao5udEem7,618290.277058,0.000037,0ea9c32546309e3972fa8fa3a3303e71,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:29:29.000,289005367,2V5feokbQZbqckQiRzpwNMXzZpHkbUTYVfzd7dNr4jW53ukTjRqvHHd5Fyax4Zvvni8DFnBPsXJhoB8Pd4pCiN95,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,10547493.878557,10475056.302705,384789cc35726337841cf990bc17fbd3,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:31:48.000,289005669,5xfGU44d65T69KRLsY3ku3yc8vzeWwxJbGgacTM4jqMQviY5s8R3ZJpNZadzQX7my9G6iRaxavDuJcBfN2fRAgvX,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,9949553.855541,9917309.484643,1ae368f4c4f24e75cca4fe891c33dbd2,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:47:53.000,289007742,4UCqrfF93Xs5aN31fA9uhf39QLjSe9EQdYV5XXeWtiZFPM7RuNCGw5Zwn7oTKw2KNQ1ejUSfnSUgR3LRJ3hJ1nag,true,4eXeZrFzSrk9KoRgacYBGgYHT5bUBMwmdCAuKxwzFDmY,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,89yEt1ToASNMgxWgSJNd6U4LxhvZM6sjJQj3ayXkQCxZ,516434.324996,572573.231182,bfc57143d5ecc1d2d4c0ffa202bc527d,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:49:29.000,289007956,5ccwrxtgfEqT3xCtepi25wUYd2mJhCqUb2tUgmz4BAsfxpYR7LaBZu7wLeFSVgvEptc3Z8L8C6qrdwyZvhRDtiET,true,5XudyHWF74mUj1AsiyW8MK7jAtFv7XtFsK4PJHq7LAB1,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,35c69Gb6sgZ65uE6HkNUjGzLpqYQ7atHobEvEYvUB7nb,22788.316301,0,acb597f09d161f10808d9ee53890fcfc,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:29:45.000,289005403,3MTJac3KsPeRoZ5f5mvWSYxQ9mMzv3BEBQDiNjSaGkv8pYmhEtS48oshFLPXRCgFgzbbf26mPicadt2EP6wNgTE4,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,11880575.359481,11875953.087653,5c01f85c050729320fd70f17246444f9,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:41:05.000,289006870,4VhcNAR2NiYnPNS8932Ky1KKL65n8HM1U7ZZWq47DKwECWEPuaLtGdSht7ggZ8Wumu2Usi5vjAHqUS4v2SYVWWeo,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,12176561.231736,12162678.086909,88ffed15d68fb58e181bb5b03d669ddc,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
